t,o,h,l,c
2026-01-08 09:00:00+00:00,896036.2148,896775.0016000004,893636.1124,894616.3476
2026-01-08 10:00:00+00:00,894601.2829999999,895719.6095999999,890105.2357999999,891246.0872000009
2026-01-08 11:00:00+00:00,891319.2571999999,892412.2496,887830.7158000002,888768.8544000002
2026-01-08 12:00:00+00:00,888768.8544000002,895153.6738,887797.9581999998,894586.0195999994
2026-01-08 13:00:00+00:00,894586.0196,897284.5234000002,894312.1584000003,895896.8453999996
2026-01-08 14:00:00+00:00,895884.2042,898443.5657999994,890303.6999999994,892130.4167999993
2026-01-08 15:00:00+00:00,892130.4167999993,987333.3346000009,888528.4341999993,982959.1078000006
2026-01-08 16:00:00+00:00,982958.5416000006,1001612.8519999998,980951.2366,1001416.5459999988
2026-01-08 17:00:00+00:00,1001416.6874,1003605.0654000001,990990.5025999999,991976.2082000002
2026-01-08 18:00:00+00:00,991976.2082,1005426.9955999998,990874.9396,991246.7417999995
2026-01-08 19:00:00+00:00,991246.7417999995,998343.2609999996,990665.2553999994,992364.2565999989
2026-01-08 20:00:00+00:00,992364.9168,996924.6845999995,990204.1117999997,990221.7789999994
2026-01-08 21:00:00+00:00,990231.0545999999,991054.3430000001,986385.9433999998,989767.9288000003
2026-01-08 22:00:00+00:00,989769.0425999999,989898.3028000002,988407.6046,988905.3299999997
2026-01-08 23:00:00+00:00,988905.0207999999,989341.4145999997,986451.191599999,986473.2789999989
2026-01-09 00:00:00+00:00,986471.252,986944.4703999994,984601.4685999998,984768.0910000002
2026-01-09 01:00:00+00:00,984769.585,984843.6059999998,978486.2194000008,981483.1687999994
2026-01-09 02:00:00+00:00,981576.2562000001,982770.3165999997,980191.8605999993,980538.3009999983
2026-01-09 03:00:00+00:00,980538.1134,981889.9361999988,979292.3479999985,981472.125
2026-01-09 04:00:00+00:00,981473.223,988159.0773999996,980341.45,988159.0773999996
2026-01-09 05:00:00+00:00,988158.9639999996,988620.2781999998,980358.3476000004,980379.3458000005
2026-01-09 06:00:00+00:00,980372.449,980676.647,980301.093,980676.6116
2026-01-09 07:00:00+00:00,980686.9935999999,981222.71,980639.0696000002,981006.0519999997
